Format Version,1.22,Take Name,Calib Diabolo Bluewhite 2020-05-25_004,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,16 Jan 1970 03:41:52 +0900,Total Frames in Take,323,Total Exported Frames,323,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite:Marker1,diabolo_bluewhite:Marker1,diabolo_bluewhite:Marker1,diabolo_bluewhite:Marker2,diabolo_bluewhite:Marker2,diabolo_bluewhite:Marker2,diabolo_bluewhite:Marker3,diabolo_bluewhite:Marker3,diabolo_bluewhite:Marker3
,,"E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","C5730","C5730","C5730","C4FA0","C4FA0","C4FA0","C5740","C5740","C5740"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.014326,0.963880,0.017553,-0.265371,0.002309,0.057865,0.040769,-0.011035,0.058024,0.017134,0.002460,0.057378,0.083871,0.015501,0.058192,0.021301
1,0.008333,0.014708,0.963863,0.017749,-0.265399,0.002319,0.057851,0.040765,-0.011030,0.058026,0.017136,0.002472,0.057356,0.083863,0.015515,0.058171,0.021297
2,0.016667,0.014411,0.963878,0.017571,-0.265372,0.002325,0.057847,0.040762,-0.011019,0.058009,0.017129,0.002476,0.057361,0.083863,0.015519,0.058172,0.021294
3,0.025000,0.014740,0.963867,0.017658,-0.265387,0.002343,0.057832,0.040761,-0.011003,0.058002,0.017133,0.002493,0.057346,0.083864,0.015539,0.058148,0.021287
4,0.033333,0.014241,0.963905,0.017328,-0.265300,0.002353,0.057816,0.040757,-0.010986,0.057962,0.017124,0.002496,0.057346,0.083861,0.015550,0.058140,0.021286
5,0.041667,0.014479,0.963873,0.017604,-0.265385,0.002365,0.057813,0.040756,-0.010983,0.057977,0.017124,0.002517,0.057325,0.083858,0.015562,0.058136,0.021286
6,0.050000,0.014909,0.963857,0.017788,-0.265408,0.002368,0.057812,0.040756,-0.010986,0.057992,0.017125,0.002522,0.057319,0.083855,0.015569,0.058126,0.021287
7,0.058333,0.015015,0.963858,0.017809,-0.265396,0.002366,0.057819,0.040759,-0.010994,0.058001,0.017131,0.002516,0.057326,0.083859,0.015575,0.058130,0.021287
8,0.066667,0.014711,0.963876,0.017625,-0.265362,0.002358,0.057830,0.040763,-0.010995,0.057998,0.017133,0.002506,0.057346,0.083864,0.015562,0.058146,0.021293
9,0.075000,0.015005,0.963867,0.017608,-0.265377,0.002354,0.057832,0.040766,-0.011005,0.058003,0.017135,0.002503,0.057356,0.083873,0.015564,0.058136,0.021291
10,0.083333,0.015206,0.963869,0.017648,-0.265358,0.002342,0.057848,0.040770,-0.011016,0.058024,0.017142,0.002489,0.057373,0.083874,0.015553,0.058147,0.021296
11,0.091667,0.015030,0.963854,0.017744,-0.265416,0.002338,0.057851,0.040770,-0.011017,0.058030,0.017142,0.002492,0.057364,0.083871,0.015540,0.058160,0.021299
12,0.100000,0.014975,0.963860,0.017728,-0.265398,0.002332,0.057853,0.040771,-0.011025,0.058031,0.017138,0.002484,0.057367,0.083875,0.015537,0.058163,0.021299
13,0.108333,0.015138,0.963834,0.017851,-0.265472,0.002324,0.057864,0.040771,-0.011040,0.058051,0.017144,0.002482,0.057371,0.083872,0.015529,0.058172,0.021296
14,0.116667,0.015064,0.963846,0.017883,-0.265433,0.002324,0.057860,0.040774,-0.011033,0.058046,0.017142,0.002479,0.057361,0.083879,0.015525,0.058171,0.021301
15,0.125000,0.015203,0.963857,0.017769,-0.265392,0.002318,0.057864,0.040774,-0.011037,0.058046,0.017145,0.002468,0.057380,0.083877,0.015522,0.058167,0.021300
16,0.133333,0.015062,0.963849,0.017766,-0.265430,0.002319,0.057856,0.040769,-0.011038,0.058036,0.017138,0.002474,0.057367,0.083872,0.015521,0.058164,0.021296
17,0.141667,0.014892,0.963837,0.017843,-0.265477,0.002315,0.057855,0.040769,-0.011041,0.058037,0.017141,0.002475,0.057356,0.083872,0.015512,0.058172,0.021295
18,0.150000,0.014855,0.963858,0.017798,-0.265405,0.002314,0.057852,0.040770,-0.011041,0.058031,0.017140,0.002465,0.057357,0.083872,0.015516,0.058168,0.021297
19,0.158333,0.014730,0.963859,0.017786,-0.265409,0.002314,0.057852,0.040770,-0.011039,0.058029,0.017140,0.002467,0.057355,0.083870,0.015513,0.058173,0.021300
20,0.166667,0.015160,0.963848,0.017823,-0.265424,0.002313,0.057852,0.040768,-0.011046,0.058037,0.017137,0.002468,0.057361,0.083871,0.015517,0.058157,0.021295
21,0.175000,0.015075,0.963856,0.017802,-0.265401,0.002314,0.057850,0.040768,-0.011040,0.058032,0.017139,0.002465,0.057359,0.083872,0.015517,0.058159,0.021293
22,0.183333,0.014784,0.963835,0.017917,-0.265484,0.002313,0.057850,0.040770,-0.011045,0.058035,0.017142,0.002473,0.057342,0.083870,0.015510,0.058174,0.021298
23,0.191667,0.014669,0.963871,0.017679,-0.265378,0.002310,0.057856,0.040771,-0.011044,0.058025,0.017140,0.002458,0.057368,0.083874,0.015515,0.058175,0.021297
24,0.200000,0.014922,0.963853,0.017761,-0.265422,0.002314,0.057851,0.040764,-0.011040,0.058029,0.017136,0.002468,0.057359,0.083866,0.015516,0.058163,0.021288
25,0.208333,0.014776,0.963857,0.017772,-0.265417,0.002312,0.057855,0.040765,-0.011043,0.058032,0.017133,0.002466,0.057360,0.083868,0.015513,0.058174,0.021293
26,0.216667,0.014819,0.963853,0.017826,-0.265425,0.002312,0.057859,0.040771,-0.011041,0.058040,0.017143,0.002467,0.057361,0.083868,0.015510,0.058178,0.021303
27,0.225000,0.014761,0.963867,0.017731,-0.265384,0.002312,0.057853,0.040770,-0.011036,0.058026,0.017140,0.002462,0.057361,0.083870,0.015508,0.058170,0.021300
28,0.233333,0.014961,0.963838,0.018016,-0.265458,0.002315,0.057844,0.040768,-0.011044,0.058037,0.017140,0.002473,0.057330,0.083868,0.015518,0.058162,0.021295
29,0.241667,0.014594,0.963846,0.017779,-0.265465,0.002319,0.057844,0.040766,-0.011035,0.058017,0.017133,0.002480,0.057345,0.083864,0.015513,0.058169,0.021299
30,0.250000,0.014904,0.963848,0.017809,-0.265438,0.002314,0.057851,0.040765,-0.011040,0.058033,0.017132,0.002470,0.057357,0.083869,0.015510,0.058165,0.021294
31,0.258333,0.014661,0.963861,0.017770,-0.265407,0.002310,0.057859,0.040769,-0.011044,0.058034,0.017141,0.002462,0.057362,0.083867,0.015512,0.058183,0.021301
32,0.266667,0.014824,0.963874,0.017638,-0.265362,0.002317,0.057849,0.040767,-0.011031,0.058018,0.017138,0.002465,0.057367,0.083871,0.015521,0.058159,0.021291
33,0.275000,0.014816,0.963855,0.017717,-0.265425,0.002317,0.057849,0.040764,-0.011040,0.058024,0.017136,0.002472,0.057358,0.083863,0.015519,0.058164,0.021292
34,0.283333,0.014710,0.963863,0.017705,-0.265401,0.002318,0.057853,0.040766,-0.011033,0.058025,0.017137,0.002469,0.057362,0.083868,0.015518,0.058172,0.021294
35,0.291667,0.014735,0.963865,0.017727,-0.265394,0.002321,0.057841,0.040769,-0.011033,0.058013,0.017138,0.002473,0.057347,0.083873,0.015525,0.058158,0.021296
36,0.300000,0.014822,0.963845,0.017858,-0.265451,0.002320,0.057845,0.040767,-0.011038,0.058029,0.017134,0.002478,0.057344,0.083871,0.015519,0.058165,0.021295
37,0.308333,0.014900,0.963884,0.017609,-0.265323,0.002326,0.057837,0.040766,-0.011023,0.058004,0.017133,0.002470,0.057360,0.083873,0.015534,0.058143,0.021292
38,0.316667,0.015114,0.963846,0.017799,-0.265435,0.002318,0.057846,0.040769,-0.011043,0.058032,0.017143,0.002472,0.057356,0.083872,0.015521,0.058155,0.021293
39,0.325000,0.014712,0.963849,0.017694,-0.265453,0.002320,0.057852,0.040770,-0.011038,0.058023,0.017139,0.002477,0.057363,0.083874,0.015521,0.058173,0.021299
40,0.333333,0.014755,0.963860,0.017695,-0.265412,0.002323,0.057852,0.040767,-0.011032,0.058025,0.017137,0.002476,0.057363,0.083869,0.015527,0.058168,0.021294
41,0.341667,0.014508,0.963866,0.017584,-0.265413,0.002323,0.057845,0.040769,-0.011025,0.058006,0.017137,0.002477,0.057359,0.083872,0.015515,0.058167,0.021300
42,0.350000,0.015100,0.963851,0.017842,-0.265415,0.002322,0.057848,0.040770,-0.011040,0.058037,0.017140,0.002475,0.057354,0.083872,0.015530,0.058155,0.021297
43,0.358333,0.014848,0.963865,0.017709,-0.265389,0.002328,0.057843,0.040770,-0.011021,0.058014,0.017139,0.002480,0.057355,0.083872,0.015528,0.058156,0.021299
44,0.366667,0.015127,0.963857,0.017719,-0.265401,0.002323,0.057852,0.040771,-0.011035,0.058034,0.017144,0.002473,0.057372,0.083873,0.015528,0.058156,0.021295
45,0.375000,0.014744,0.963858,0.017686,-0.265419,0.002326,0.057849,0.040769,-0.011029,0.058019,0.017140,0.002480,0.057359,0.083868,0.015527,0.058167,0.021299
46,0.383333,0.014660,0.963868,0.017629,-0.265394,0.002323,0.057857,0.040768,-0.011028,0.058026,0.017135,0.002475,0.057373,0.083868,0.015521,0.058176,0.021300
47,0.391667,0.014981,0.963850,0.017818,-0.265426,0.002318,0.057869,0.040772,-0.011037,0.058055,0.017147,0.002472,0.057375,0.083870,0.015517,0.058182,0.021301
48,0.400000,0.014768,0.963861,0.017677,-0.265409,0.002321,0.057863,0.040772,-0.011030,0.058031,0.017139,0.002475,0.057375,0.083875,0.015519,0.058178,0.021302
49,0.408333,0.014810,0.963855,0.017777,-0.265420,0.002320,0.057866,0.040772,-0.011035,0.058045,0.017144,0.002473,0.057370,0.083872,0.015520,0.058184,0.021301
50,0.416667,0.014695,0.963850,0.017803,-0.265443,0.002317,0.057865,0.040772,-0.011038,0.058042,0.017142,0.002473,0.057365,0.083869,0.015514,0.058188,0.021303
51,0.425000,0.014570,0.963848,0.017799,-0.265459,0.002316,0.057866,0.040775,-0.011037,0.058042,0.017144,0.002476,0.057364,0.083872,0.015510,0.058194,0.021310
52,0.433333,0.014339,0.963876,0.017490,-0.265388,0.002321,0.057859,0.040773,-0.011026,0.058010,0.017137,0.002474,0.057380,0.083878,0.015520,0.058182,0.021304
53,0.441667,0.014728,0.963857,0.017729,-0.265421,0.002321,0.057858,0.040770,-0.011033,0.058036,0.017143,0.002475,0.057362,0.083868,0.015519,0.058175,0.021297
54,0.450000,0.014680,0.963842,0.017817,-0.265474,0.002322,0.057856,0.040772,-0.011033,0.058034,0.017144,0.002483,0.057354,0.083869,0.015518,0.058180,0.021304
55,0.458333,0.014532,0.963854,0.017721,-0.265443,0.002319,0.057859,0.040771,-0.011034,0.058030,0.017139,0.002475,0.057365,0.083869,0.015515,0.058186,0.021303
56,0.466667,0.014758,0.963854,0.017841,-0.265424,0.002319,0.057864,0.040771,-0.011036,0.058048,0.017142,0.002474,0.057363,0.083869,0.015520,0.058185,0.021302
57,0.475000,0.014500,0.963853,0.017730,-0.265449,0.002320,0.057858,0.040772,-0.011030,0.058024,0.017137,0.002480,0.057359,0.083874,0.015512,0.058184,0.021304
58,0.483333,0.014997,0.963846,0.017790,-0.265441,0.002319,0.057863,0.040771,-0.011038,0.058048,0.017142,0.002474,0.057374,0.083871,0.015519,0.058171,0.021298
59,0.491667,0.014931,0.963851,0.017779,-0.265427,0.002318,0.057859,0.040772,-0.011037,0.058036,0.017144,0.002472,0.057365,0.083873,0.015520,0.058172,0.021300
60,0.500000,0.014796,0.963862,0.017723,-0.265398,0.002319,0.057856,0.040771,-0.011031,0.058029,0.017140,0.002471,0.057365,0.083873,0.015518,0.058172,0.021298
61,0.508333,0.014696,0.963865,0.017666,-0.265397,0.002318,0.057855,0.040772,-0.011032,0.058024,0.017140,0.002471,0.057367,0.083876,0.015517,0.058172,0.021300
62,0.516667,0.014544,0.963860,0.017714,-0.265422,0.002323,0.057845,0.040767,-0.011026,0.058014,0.017135,0.002479,0.057346,0.083865,0.015520,0.058170,0.021296
63,0.525000,0.014730,0.963853,0.017768,-0.265433,0.002323,0.057846,0.040769,-0.011033,0.058024,0.017142,0.002477,0.057351,0.083870,0.015524,0.058165,0.021298
64,0.533333,0.014589,0.963861,0.017665,-0.265420,0.002322,0.057850,0.040768,-0.011031,0.058017,0.017140,0.002475,0.057361,0.083868,0.015521,0.058173,0.021296
65,0.541667,0.014526,0.963872,0.017610,-0.265388,0.002324,0.057846,0.040767,-0.011025,0.058010,0.017134,0.002476,0.057359,0.083866,0.015522,0.058167,0.021300
66,0.550000,0.014572,0.963867,0.017654,-0.265399,0.002321,0.057847,0.040768,-0.011029,0.058016,0.017138,0.002473,0.057357,0.083869,0.015517,0.058169,0.021296
67,0.558333,0.014949,0.963869,0.017707,-0.265368,0.002321,0.057849,0.040770,-0.011032,0.058027,0.017143,0.002468,0.057365,0.083876,0.015529,0.058157,0.021293
68,0.566667,0.014650,0.963876,0.017563,-0.265368,0.002318,0.057851,0.040771,-0.011033,0.058013,0.017140,0.002466,0.057373,0.083875,0.015519,0.058171,0.021298
69,0.575000,0.014465,0.963875,0.017565,-0.265381,0.002321,0.057846,0.040770,-0.011027,0.058006,0.017133,0.002475,0.057358,0.083873,0.015518,0.058168,0.021302
70,0.583333,0.014687,0.963856,0.017762,-0.265426,0.002326,0.057840,0.040767,-0.011027,0.058018,0.017135,0.002484,0.057340,0.083867,0.015525,0.058159,0.021296
71,0.591667,0.014683,0.963867,0.017738,-0.265388,0.002326,0.057835,0.040767,-0.011024,0.058007,0.017134,0.002477,0.057341,0.083869,0.015526,0.058155,0.021298
72,0.600000,0.014538,0.963873,0.017668,-0.265377,0.002328,0.057839,0.040764,-0.011018,0.058007,0.017133,0.002480,0.057349,0.083862,0.015526,0.058165,0.021295
73,0.608333,0.014696,0.963852,0.017779,-0.265437,0.002323,0.057850,0.040767,-0.011035,0.058032,0.017144,0.002478,0.057354,0.083865,0.015523,0.058173,0.021296
74,0.616667,0.014855,0.963846,0.017895,-0.265442,0.002322,0.057846,0.040768,-0.011032,0.058030,0.017144,0.002477,0.057339,0.083863,0.015522,0.058163,0.021296
75,0.625000,0.015022,0.963844,0.017915,-0.265438,0.002324,0.057845,0.040769,-0.011030,0.058034,0.017142,0.002480,0.057346,0.083869,0.015523,0.058158,0.021298
76,0.633333,0.015024,0.963861,0.017813,-0.265385,0.002324,0.057846,0.040770,-0.011030,0.058027,0.017141,0.002473,0.057356,0.083870,0.015529,0.058156,0.021299
77,0.641667,0.014997,0.963849,0.017789,-0.265430,0.002323,0.057843,0.040772,-0.011034,0.058023,0.017147,0.002477,0.057351,0.083874,0.015524,0.058154,0.021295
78,0.650000,0.014794,0.963853,0.017728,-0.265433,0.002322,0.057845,0.040773,-0.011032,0.058019,0.017143,0.002477,0.057355,0.083874,0.015521,0.058164,0.021303
79,0.658333,0.014670,0.963863,0.017775,-0.265402,0.002323,0.057846,0.040775,-0.011031,0.058022,0.017147,0.002475,0.057346,0.083868,0.015525,0.058169,0.021309
80,0.666667,0.014755,0.963858,0.017804,-0.265410,0.002320,0.057854,0.040774,-0.011036,0.058035,0.017146,0.002472,0.057359,0.083874,0.015520,0.058175,0.021302
81,0.675000,0.014638,0.963867,0.017692,-0.265394,0.002318,0.057859,0.040775,-0.011031,0.058027,0.017145,0.002469,0.057370,0.083876,0.015516,0.058181,0.021305
82,0.683333,0.014936,0.963849,0.017818,-0.265434,0.002315,0.057860,0.040778,-0.011046,0.058046,0.017153,0.002470,0.057363,0.083876,0.015519,0.058171,0.021306
83,0.691667,0.014640,0.963861,0.017724,-0.265411,0.002315,0.057863,0.040779,-0.011035,0.058032,0.017148,0.002467,0.057371,0.083879,0.015513,0.058189,0.021309
84,0.700000,0.014895,0.963859,0.017797,-0.265401,0.002314,0.057866,0.040782,-0.011046,0.058050,0.017157,0.002465,0.057372,0.083879,0.015523,0.058178,0.021312
85,0.708333,0.014863,0.963856,0.017781,-0.265413,0.002312,0.057874,0.040782,-0.011046,0.058053,0.017157,0.002463,0.057384,0.083879,0.015515,0.058194,0.021310
86,0.716667,0.014597,0.963886,0.017598,-0.265332,0.002310,0.057873,0.040782,-0.011038,0.058033,0.017144,0.002454,0.057390,0.083888,0.015514,0.058192,0.021312
87,0.725000,,,,,,,,-0.011040,0.058042,0.017146,0.002461,0.057376,0.083880,0.015512,0.058195,0.021314
88,0.733333,0.014738,0.963879,0.017540,-0.265354,0.002306,0.057878,0.040785,-0.011046,0.058043,0.017155,0.002453,0.057403,0.083886,0.015508,0.058190,0.021314
89,0.741667,0.015046,0.963868,0.017624,-0.265370,0.002302,0.057888,0.040788,-0.011057,0.058067,0.017161,0.002449,0.057415,0.083894,0.015512,0.058193,0.021313
90,0.750000,0.015036,0.963868,0.017728,-0.265365,0.002303,0.057887,0.040787,-0.011049,0.058065,0.017155,0.002453,0.057397,0.083886,0.015509,0.058196,0.021315
91,0.758333,0.015321,0.963847,0.017865,-0.265414,0.002305,0.057881,0.040784,-0.011057,0.058072,0.017159,0.002457,0.057388,0.083888,0.015514,0.058177,0.021303
92,0.766667,0.014799,0.963863,0.017687,-0.265397,0.002303,0.057877,0.040784,-0.011049,0.058041,0.017155,0.002451,0.057390,0.083888,0.015504,0.058198,0.021310
93,0.775000,0.015028,0.963861,0.017763,-0.265387,0.002302,0.057879,0.040783,-0.011057,0.058065,0.017156,0.002451,0.057390,0.083887,0.015512,0.058184,0.021306
94,0.783333,0.014869,0.963867,0.017723,-0.265378,0.002299,0.057882,0.040784,-0.011051,0.058055,0.017155,0.002448,0.057395,0.083884,0.015499,0.058201,0.021312
95,0.791667,0.014727,0.963871,0.017736,-0.265369,0.002301,0.057884,0.040784,-0.011052,0.058060,0.017149,0.002452,0.057390,0.083884,0.015506,0.058204,0.021317
96,0.800000,0.014728,0.963877,0.017676,-0.265354,0.002301,0.057888,0.040787,-0.011048,0.058059,0.017157,0.002448,0.057404,0.083893,0.015503,0.058205,0.021315
97,0.808333,0.014769,0.963881,0.017661,-0.265335,0.002301,0.057886,0.040787,-0.011051,0.058055,0.017155,0.002446,0.057398,0.083889,0.015507,0.058199,0.021316
98,0.816667,0.014496,0.963883,0.017621,-0.265348,0.002304,0.057881,0.040783,-0.011045,0.058043,0.017151,0.002453,0.057391,0.083882,0.015507,0.058208,0.021313
99,0.825000,0.014822,0.963866,0.017749,-0.265380,0.002305,0.057881,0.040782,-0.011047,0.058064,0.017150,0.002457,0.057388,0.083886,0.015506,0.058192,0.021309
100,0.833333,0.015035,0.963862,0.017785,-0.265383,0.002307,0.057876,0.040780,-0.011048,0.058055,0.017153,0.002456,0.057385,0.083881,0.015516,0.058183,0.021303
101,0.841667,0.014737,0.963853,0.017789,-0.265432,0.002308,0.057874,0.040780,-0.011044,0.058050,0.017155,0.002465,0.057373,0.083878,0.015504,0.058199,0.021309
